event-id,visible,timestamp,location-long,location-lat,study-specific-measurement,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone
13872701126,true,2015-06-11 16:36:00.000,-89.98576667,35.14843333,"20.10961807:42.55695012","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227994.9335217327,3893586.2664394313,"16N"
13872701127,true,2015-06-13 19:01:00.000,-89.98575,35.14881667,"22.51152668:16.16905942","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227997.72976576403,3893628.75242884,"16N"
13872701128,true,2015-06-16 15:49:00.000,-89.98591667,35.14876667,"17.13299:28.8554554","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227982.37484612525,3893623.6610113303,"16N"
13872701129,true,2015-06-20 19:30:00.000,-89.98623333,35.14876667,"11.19852849:58.90423686","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227953.5181833898,3893624.5276109464,"16N"
13872701130,true,2015-06-23 15:35:00.000,-89.9857,35.14846667,"15.71422176:41.21048657","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",228001.1201372667,3893589.7830817825,"16N"
13872701131,true,2015-06-26 13:56:00.000,-89.98596667,35.14816667,"20.70456754:58.10789419","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227975.81934553396,3893557.2277864064,"16N"
13872701132,true,2015-06-30 15:07:00.000,-89.98658333,35.14803333,"3.590541961:2.392754378","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227919.17944647715,3893544.121406106,"16N"
13872701133,true,2015-07-04 14:40:00.000,-89.98656667,35.14805,"5.37901554:11.1979333","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227920.75320853636,3893545.9253438734,"16N"
13872701134,true,2015-07-07 14:23:00.000,-89.98658333,35.14815,"6.197172099:45.90708176","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227919.56824633462,3893557.0659548296,"16N"
13872701135,true,2015-07-10 14:09:00.000,-89.98706667,35.14803333,"5.920837055:47.02082594","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227875.13312493294,3893545.4444778804,"16N"
13872701136,true,2015-07-20 15:54:00.000,-89.98665,35.14828333,"1.336579197:25.93143463","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227913.9370109866,3893572.0414195918,"16N"
13872701137,true,2015-07-23 15:54:00.000,-89.98663333,35.14805,"5.641140706:57.66567224","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227914.67854682973,3893546.1078020204,"16N"
13872701138,true,2015-07-27 15:38:00.000,-89.98725,35.14816667,"3.523426656:8.226882831","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227858.87088377518,3893560.740462835,"16N"
13872701139,true,2015-07-30 14:35:00.000,-89.98731667,35.14821667,"4.699042094:9.731479288","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227852.96198339132,3893566.470497048,"16N"
13872701140,true,2015-08-03 14:38:00.000,-89.98728333,35.1483,"6.413883488:20.39627662","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227856.27798153413,3893575.6246933783,"16N"
13872701141,true,2015-08-06 15:27:00.000,-89.9873,35.14811667,"3.532969833:28.88152655","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227854.1477733762,3893555.3298448483,"16N"
13872701142,true,2015-08-10 15:09:00.000,-89.98701667,35.148,"1.876609116:12.70086769","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227879.5784910671,3893541.6096328674,"16N"
13872701143,true,2015-08-13 15:11:00.000,-89.98688333,35.14796667,"2.643143707:32.74007879","radio-transmitter","Agkistrodon contortrix","ID_3413","ID_3413","Spatial ecology of copperhead snakes in an urban park",227891.61856355536,3893537.546651884,"16N"
